DateTime,dswrf,uswrf
'13-Feb-2017 07:30:00',0,0
'13-Feb-2017 10:30:00',0.375,0.1875
'13-Feb-2017 13:30:00',269.625,58.375
'13-Feb-2017 16:30:00',402.5625,58.125
'13-Feb-2017 19:30:00',334.75,58.1875
'13-Feb-2017 22:30:00',26.1875,10.8125
'14-Feb-2017 01:30:00',0,0
'14-Feb-2017 04:30:00',0,0
'14-Feb-2017 07:30:00',0,0
'14-Feb-2017 10:30:00',1.125,0.6875
'14-Feb-2017 13:30:00',309.5,68.125
'14-Feb-2017 16:30:00',611.625,87.3125
'14-Feb-2017 19:30:00',447.5625,77.875
'14-Feb-2017 22:30:00',41.75,16.8125
'15-Feb-2017 01:30:00',0,0
'15-Feb-2017 04:30:00',0,0
'15-Feb-2017 07:30:00',0,0
'15-Feb-2017 10:30:00',1.25,0.6875
'15-Feb-2017 13:30:00',156.4375,35.875
'15-Feb-2017 16:30:00',156.625,22.9375
'15-Feb-2017 19:30:00',160.9375,28.125
'15-Feb-2017 22:30:00',25.5,9.8125
'16-Feb-2017 01:30:00',0,0
'16-Feb-2017 04:30:00',0,0
'16-Feb-2017 07:30:00',0,0
'16-Feb-2017 10:30:00',1.4375,0.8125
'16-Feb-2017 13:30:00',193.5,41.8125
'16-Feb-2017 16:30:00',488.5625,69.875
'16-Feb-2017 19:30:00',432.875,75.375
'16-Feb-2017 22:30:00',46.5,17.9375
'17-Feb-2017 01:30:00',0,0
'17-Feb-2017 04:30:00',0,0
'17-Feb-2017 07:30:00',0,0
'17-Feb-2017 10:30:00',2.0625,1.1875
'17-Feb-2017 13:30:00',332.375,71.375
'17-Feb-2017 16:30:00',663.25,94.5
'17-Feb-2017 19:30:00',487.875,84.125
'17-Feb-2017 22:30:00',51.875,20
'18-Feb-2017 01:30:00',0,0
'18-Feb-2017 04:30:00',0,0
'18-Feb-2017 07:30:00',0,0
'18-Feb-2017 10:30:00',2.3125,1.375
'18-Feb-2017 13:30:00',271.875,58.625
'18-Feb-2017 16:30:00',510.125,72.3125
'18-Feb-2017 19:30:00',468.8125,81.3125
'18-Feb-2017 22:30:00',51.75,19.9375
'19-Feb-2017 01:30:00',0,0
'19-Feb-2017 04:30:00',0,0
'19-Feb-2017 07:30:00',0,0
'19-Feb-2017 10:30:00',2.8125,1.625
'19-Feb-2017 13:30:00',333.4375,71
'19-Feb-2017 16:30:00',611.125,87.0625
'19-Feb-2017 19:30:00',394.9375,68.5625
'19-Feb-2017 22:30:00',54.75,20.75
'20-Feb-2017 01:30:00',0,0
'20-Feb-2017 04:30:00',0,0
'20-Feb-2017 07:30:00',0,0
'20-Feb-2017 10:30:00',2.5,1.375
'20-Feb-2017 13:30:00',231.75,46.9375
'20-Feb-2017 16:30:00',473.375,65.5625
'20-Feb-2017 19:30:00',413.1875,69.3125
'20-Feb-2017 22:30:00',49.875,18.1875
'21-Feb-2017 01:30:00',0,0
'21-Feb-2017 04:30:00',0,0
'21-Feb-2017 07:30:00',0,0
'21-Feb-2017 10:30:00',2.75,1.5
'21-Feb-2017 13:30:00',309.4375,61.5625
'21-Feb-2017 16:30:00',665.625,92.375
'21-Feb-2017 19:30:00',481.0625,79.875
'21-Feb-2017 22:30:00',52.8125,18.9375
'22-Feb-2017 01:30:00',0,0
'22-Feb-2017 04:30:00',0,0
'22-Feb-2017 07:30:00',0,0
'22-Feb-2017 10:30:00',2.375,1.3125
'22-Feb-2017 13:30:00',93.9375,19.375
'22-Feb-2017 16:30:00',340.875,48
'22-Feb-2017 19:30:00',413.5,70.4375
'22-Feb-2017 22:30:00',55.75,20.25
'23-Feb-2017 01:30:00',0,0
'23-Feb-2017 04:30:00',0,0
'23-Feb-2017 07:30:00',0,0
'23-Feb-2017 10:30:00',4.5,2.5625
'23-Feb-2017 13:30:00',344.25,71.125
'23-Feb-2017 16:30:00',664.5625,94.25
'23-Feb-2017 19:30:00',494.5,83.5625
'23-Feb-2017 22:30:00',59.75,21.5625
'24-Feb-2017 01:30:00',0,0
'24-Feb-2017 04:30:00',0,0
'24-Feb-2017 07:30:00',0,0
'24-Feb-2017 10:30:00',5,2.8125
'24-Feb-2017 13:30:00',342.5,70.25
'24-Feb-2017 16:30:00',635.25,89.875
'24-Feb-2017 19:30:00',457.625,77.6875
'24-Feb-2017 22:30:00',61,21.875
'25-Feb-2017 01:30:00',0,0
'25-Feb-2017 04:30:00',0,0
'25-Feb-2017 07:30:00',0,0
'25-Feb-2017 10:30:00',5.4375,3.125
'25-Feb-2017 13:30:00',346.9375,70.25
'25-Feb-2017 16:30:00',656.5,92.25
'25-Feb-2017 19:30:00',493.9375,83.25
'25-Feb-2017 22:30:00',62.5,22.1875
'26-Feb-2017 01:30:00',0,0
'26-Feb-2017 04:30:00',0,0
'26-Feb-2017 07:30:00',0,0
'26-Feb-2017 10:30:00',5,2.6875
'26-Feb-2017 13:30:00',327.3125,64.3125
'26-Feb-2017 16:30:00',556.375,74.375
'26-Feb-2017 19:30:00',401.25,64.0625
'26-Feb-2017 22:30:00',55.1875,18.875
'27-Feb-2017 01:30:00',0,0
'27-Feb-2017 04:30:00',0,0
'27-Feb-2017 07:30:00',0,0
'27-Feb-2017 10:30:00',7.875,4.3125
'27-Feb-2017 13:30:00',385.4375,75.3125
'27-Feb-2017 16:30:00',700.9375,94.6875
'27-Feb-2017 19:30:00',519.8125,83.1875
'27-Feb-2017 22:30:00',71.125,24.375
'28-Feb-2017 01:30:00',0,0
'28-Feb-2017 04:30:00',0,0
